name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารครัวแม่พรเจ้าเก่า,ร้านจำหน่ายอาหาร,นาตาล,ท่าคันโท,กาฬสินธุ์,SAN,2023-03-23,ไม่ผ่านเกณฑ์
ร้านยำ ตำไฟแดง,ร้านจำหน่ายอาหาร,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,SAN PLUS,2025-08-06,รับรอง
ร้านลี้แซบคาเฟ่,ร้านจำหน่ายอาหาร,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,SAN PLUS,2024-04-11,หมดอายุ
ร้านคำภูเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,SAN PLUS,2024-04-11,หมดอายุ
ร้านก๋วยเตี๋ยวไดโนเสาร์,ร้านจำหน่ายอาหาร,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านฮุ่งเฮืองทอปไลฟ์สไตล์,ร้านจำหน่ายอาหาร,กมลาไสย,กมลาไสย,กาฬสินธุ์,SAN,2025-06-26,ไม่ผ่านเกณฑ์
สถานีแซ่บนัว ครัวบ้านเฮา,ร้านจำหน่ายอาหาร,สามัคคี,ร่องคำ,กาฬสินธุ์,SAN,2025-03-11,รับรอง
ละติจูด คาเฟ่,ร้านเครื่องดื่ม,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-03-23,ไม่ผ่านเกณฑ์
ถุงเงินหมูกะทะ,ร้านจำหน่ายอาหาร,ยางตลาด,ยางตลาด,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
เฮือนกาฬสินธุ์ สวนดอนธรรม,สวนอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-08-21,รับรอง
ร้านอาหารนิตยาแซ่บอิหลี,ร้านจำหน่ายอาหาร,หลุบ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ชุ่มชื่นโภชนา,ร้านจำหน่ายอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-03-24,ไม่ผ่านเกณฑ์
บิวตี้อินดี้ส้มตำริมคลอง,ร้านจำหน่ายอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-03-28,ไม่ผ่านเกณฑ์
Bake Box Cafe,ร้านเครื่องดื่ม,โพนทอง,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN PLUS,2024-06-27,หมดอายุ
Okane โอคาเนะ,ร้านจำหน่ายอาหาร,โพนทอง,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านน้ำหนึ่งกาแฟสด,ร้านเครื่องดื่ม,นาจารย์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-03-28,ไม่ผ่านเกณฑ์
กาแฟคุณปุ้ย,ร้านจำหน่ายอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ข้าวต้ม ลงเอย,ร้านจำหน่ายอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN PLUS,2025-06-19,รับรอง
กาแฟดอยทิพย์ KTsound,ร้านจำหน่ายอาหาร,โพนทอง,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
เลาะดอน STATION,ร้านจำหน่ายอาหาร,โพนทอง,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-05-23,รับรอง
เรือนร่มไม้ กาฬสินธุ์,ร้านจำหน่ายอาหาร,กลางหมื่น,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านเจ๊หมู ตำระเบิด,ร้านจำหน่ายอาหาร,เชียงเครือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-09-09,รับรอง
Six Degrees by อ้วนตึ้ง,ร้านจำหน่ายอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
หม่องแซบ 2,ร้านจำหน่ายอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-03-28,ไม่ผ่านเกณฑ์
คาเฟ่อเมซอน,ร้านจำหน่ายอาหาร,ห้วยโพธิ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
Good Day Coffee and tea bar,ร้านจำหน่ายอาหาร,หลุบ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-03-29,ไม่ผ่านเกณฑ์
ข้าวมันไก่อาฮวด,ร้านจำหน่ายอาหาร,ร่องคำ,ร่องคำ,กาฬสินธุ์,SAN,2025-04-25,ไม่ผ่านเกณฑ์
เบิ่งโขงหมูกระทะ,ร้านจำหน่ายอาหาร,ร่องคำ,ร่องคำ,กาฬสินธุ์,SAN,2025-04-25,ไม่ผ่านเกณฑ์
อเมซอนคาเฟ่,ร้านจำหน่ายอาหาร,ร่องคำ,ร่องคำ,กาฬสินธุ์,SAN,2025-04-25,ไม่ผ่านเกณฑ์
Together Cafe ,ร้านจำหน่ายอาหาร,ร่องคำ,ร่องคำ,กาฬสินธุ์,SAN,2025-04-25,ไม่ผ่านเกณฑ์
ใบตองอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ร่องคำ,ร่องคำ,กาฬสินธุ์,SAN,2024-12-09,รับรอง
Maji cafa,ร้านจำหน่ายอาหาร,ร่องคำ,ร่องคำ,กาฬสินธุ์,SAN,2024-12-09,รับรอง
125cafa,อื่นๆ,ร่องคำ,ร่องคำ,กาฬสินธุ์,SAN,2025-05-14,รับรอง
ครัวชายทุ่ง,ร้านจำหน่ายอาหาร,เหล่าอ้อย,ร่องคำ,กาฬสินธุ์,SAN,2024-12-09,รับรอง
บ้านโฮมสวนอาหาร,สวนอาหาร,คลองขาม,ยางตลาด,กาฬสินธุ์,SAN,2024-05-01,ไม่ผ่านเกณฑ์
Tree House Coffee,ร้านจำหน่ายอาหาร,อุ่มเม่า,ยางตลาด,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านอ้ายปาย อาหารจานด่วน(แม่จักร),ร้านจำหน่ายอาหาร,หนองช้าง,สามชัย,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ณัฐ คาเฟ่_나트 카페,ร้านจำหน่ายอาหาร,นาจารย์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
Two Brothers Coffee กาแฟสด,ร้านจำหน่ายอาหาร,หลุบ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-04-07,ไม่ผ่านเกณฑ์
I AM Cafe Kalasin,ร้านเครื่องดื่ม,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ล้านคำ คาเฟ่,ร้านจำหน่ายอาหาร,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านนายายครอง,ร้านจำหน่ายอาหาร,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,SAN,2024-11-07,ไม่ผ่านเกณฑ์
ร้านอาหารสวัสดิการพิพิธภัณฑ์สิรินธร,ร้านจำหน่ายอาหาร,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,SAN,2024-05-02,ไม่ผ่านเกณฑ์
กินดีสเต็กแอนด์คาเฟ่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ข้าวหมูแดงหาดใหญ่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวสมุนไพร,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
เป้าลาบเป็ด,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านข้าวแกงริมคลอง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
โจ๊กอรทัย,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านก๋วยจั๊บสาธิยา,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ราชาบะหมี่กวางตุ้ง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
แสงชัย,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านพวงแก้ว,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-16,รับรอง
เจ๊อื๋อ,ร้านจำหน่ายอาหาร,นาจารย์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2023-05-18,ไม่ผ่านเกณฑ์
สุกี้ ป้าเฒ่า,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านแตกแหลก,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-01,รับรอง
อาหารตามสั่งบอย,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-08-25,รับรอง
ร้านเจ๊หนีบ,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-08-25,รับรอง
เตียกิมเซง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
วัชราภรณ์ข้าวมันไก่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านชาบูร็อค,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-04-30,รับรอง
เจ๊รี ก๋วยเตี๋ยวต้มยำ,อื่นๆ,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
เจ๊หน่อยก๋วยเตี๋ยวไก่ตุ๋นมะระ,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านข้าวแกง ณ คาร์ป,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
ฮักคอฟฟี่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
เต็มจาน ตามสั่ง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-01-09,รับรอง
มีโซ พวงเงิน,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,มาตรฐาน SAN,2025-06-27,หมดอายุ
ครัวบ้านสวนคุณยาย,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ศิลาชาบุ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ก๋วยจั๊บญวนยาหยี,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวยายชิต,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-01,รับรอง
ส้มตำอุดร,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวต้มยำไข่ยางมะตูม,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
เยลโล่ คาเฟ่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
สองพี่น้องตามสั่ง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
ร้านติ๋มผัดไทย@ชาบูอาอี๊,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-12-04,รับรอง
ร้านมะยม,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
ส้มตำยายละมุด,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
แม่แต๋วอาหารตามสั่ง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวแม๊กกี้ ซอยข้างปะปา,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
ก๋วยเตี๋ยวเฮียตี๋ เจ้นัน,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ไม่ลองไม่รู้ข้าวมันไก่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-16,รับรอง
ราชาก๋วยจั๊บน้ำข้น,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
ร้านอ้วนข้าวมันไก่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
แจ่วฮ้อนบ้านไม้,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
ตามสั่งหน้าโรงพยาบาล,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
กะตามอาหารตามสั่ง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
ฟีฟ่าเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
โกแกงหมูย่างเกาหลี&เมี่ยงปลา,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-07-02,รับรอง
บีกินส์คาเฟ่,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ลำภู เนื้อย่างเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ร้านศุมัญญากุ้งเผา,ร้านจำหน่ายอาหาร,บัวบาน,ยางตลาด,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
The Sads Bar,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
บีชบ้านนา คาเฟ่,ร้านเครื่องดื่ม,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
Rabbit Cafe,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
Hug a Mug Cafe,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ครัวไร่ฝิ่น,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
เจ้นางอาหารตามสั่ง,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
เตี๋ยวยั่วญวน,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2024-10-24,รับรอง
คอฟฟี่ไก่อู,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2024-10-22,รับรอง
TOMORROW,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
สุมหัว คาเฟ่,อื่นๆ,หนองกุง,เมืองกาฬสินธุ์,กาฬสินธุ์,มาตรฐาน SAN,2024-04-29,หมดอายุ
เป็นหนึ่งส้มตำ,ร้านจำหน่ายอาหาร,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
อ.กุ้งเผาท่าคันโท,ร้านจำหน่ายอาหาร,ท่าคันโท,ท่าคันโท,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ครัวที่รัก,ร้านจำหน่ายอาหาร,นาคู,นาคู,กาฬสินธุ์,SAN,2024-08-05,ไม่ผ่านเกณฑ์
ครัวน้องบีม ไก่ย่างวิเชียรบุรี,ร้านจำหน่ายอาหาร,กุดปลาค้าว,เขาวง,กาฬสินธุ์,SAN,2024-09-09,รับรอง
ก๋วยจั้บหัวมุม,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
แบงค์ลาบเป็ด,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ครัวฮิมบ้าน,ร้านจำหน่ายอาหาร,สระพังทอง,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ครัวเจ๊ลำ,ร้านจำหน่ายอาหาร,หนองผือ,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
วิลาวัลย์,ร้านจำหน่ายอาหาร,หนองผือ,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ครัวแม่ฮ้างมหาเสน่ห์,ร้านจำหน่ายอาหาร,หนองผือ,เขาวง,กาฬสินธุ์,SAN,2025-06-25,ไม่ผ่านเกณฑ์
ร้านสวัสดิการโรงพยาบาลเขาวง,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-06-26,ไม่ผ่านเกณฑ์
ลำภูเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
แบมบูก๋วยเตี๋ยว,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-06-26,ไม่ผ่านเกณฑ์
เรือนชมพูเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-07-06,รับรอง
น ย่างเนย,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-07-06,รับรอง
ครัวตีนบ้าน,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ครัวเจ๊ณี,ร้านจำหน่ายอาหาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,SAN,2025-07-06,รับรอง
พิน,ร้านจำหน่ายอาหาร,กุดสิมคุ้มใหม่,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ส้มตำน้องมายด์,ร้านจำหน่ายอาหาร,กุดสิมคุ้มใหม่,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
ส้มตำเจ๊ปอย,ร้านจำหน่ายอาหาร,กุดสิมคุ้มใหม่,เขาวง,กาฬสินธุ์,SAN,2025-06-27,ไม่ผ่านเกณฑ์
แล้วแลง คั่วเป็ด ลาบเป็ด,ร้านจำหน่ายอาหาร,หนองผือ,เขาวง,กาฬสินธุ์,SAN,2025-07-06,รับรอง
ปูอาหารตามสั่ง,ร้านจำหน่ายอาหาร,สำราญใต้,สามชัย,กาฬสินธุ์,SAN,2024-05-02,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวหนองช้าง,ร้านจำหน่ายอาหาร,หนองช้าง,สามชัย,กาฬสินธุ์,SAN,2024-03-07,ไม่ผ่านเกณฑ์
Siew Studio: Cafe & Art space,ร้านจำหน่ายอาหาร,เว่อ,ยางตลาด,กาฬสินธุ์,SAN,2024-08-27,รับรอง
แผงลอยขายอาหารนางพยอม,ร้านจำหน่ายอาหาร,ดอนสมบูรณ์,ยางตลาด,กาฬสินธุ์,SAN,2024-03-08,ไม่ผ่านเกณฑ์
รุ้งแก้วตามสั่ง,ร้านจำหน่ายอาหาร,อิตื้อ,ยางตลาด,กาฬสินธุ์,SAN,2025-04-29,รับรอง
ตามสั่ง,ร้านจำหน่ายอาหาร,โนนสูง,ยางตลาด,กาฬสินธุ์,SAN,2025-04-29,รับรอง
ร้านอาหารตามสั่งจันทร์เพ็ญ,อื่นๆ,หัวงัว,ยางตลาด,กาฬสินธุ์,SAN,2025-04-29,รับรอง
ครัวแม่หวา ชาตาดม,ร้านจำหน่ายอาหาร,หัวนาคำ,ยางตลาด,กาฬสินธุ์,SAN,2025-04-29,รับรอง
แหลมทอง (ครัวคุณย่า),ร้านจำหน่ายอาหาร,หนองช้าง,สามชัย,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้านดาบแหลม,ร้านจำหน่ายอาหาร,สำราญ,สามชัย,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้านล้านถ้วย,ร้านจำหน่ายอาหาร,หนองช้าง,สามชัย,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้าน ส.สมบัติ,ร้านจำหน่ายอาหาร,หนองช้าง,สามชัย,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
สวนอาหารแม่วงค์เดือน,สวนอาหาร,สำราญใต้,สามชัย,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
สวนอาหารกลิ่นลำดวนกุ้งเผ่า,สวนอาหาร,นาเชือก,ยางตลาด,กาฬสินธุ์,มาตรฐาน SAN,2024-03-20,หมดอายุ
White Bridge Cafe,ภัตาคาร,ห้วยเม็ก,ห้วยเม็ก,กาฬสินธุ์,SAN,2024-04-24,ไม่ผ่านเกณฑ์
ร้านบ้านคุณนาย,ร้านจำหน่ายอาหาร,ดอนจาน,ดอนจาน,กาฬสินธุ์,SAN,2024-04-28,ไม่ผ่านเกณฑ์
ชุลีรัตน์ ก๋วยเตี๋ยวเฝอ,ร้านจำหน่ายอาหาร,หลักเมือง,กมลาไสย,กาฬสินธุ์,SAN,2024-04-29,ไม่ผ่านเกณฑ์
เพลินวิวชิวพูง,ร้านจำหน่ายอาหาร,นิคมห้วยผึ้ง,ห้วยผึ้ง,กาฬสินธุ์,SAN,2024-04-29,ไม่ผ่านเกณฑ์
ลำดวนคาเฟ่,ร้านเครื่องดื่ม,ดอนจาน,ดอนจาน,กาฬสินธุ์,SAN,2025-07-16,รับรอง
พรีมพรีมบีช คาเฟ่แแอนด์เรสเทอรองต์,สวนอาหาร,นามน,นามน,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ฤทธิ์โภชนา,ร้านจำหน่ายอาหาร,นาจำปา,ดอนจาน,กาฬสินธุ์,SAN,2024-04-30,ไม่ผ่านเกณฑ์
Boborah,ร้านจำหน่ายอาหาร,ฆ้องชัยพัฒนา,ฆ้องชัย,กาฬสินธุ์,SAN,2025-07-23,รับรอง
นาบ้านสวนคาเฟ่ ,สวนอาหาร,หนองกุงศรี,หนองกุงศรี,กาฬสินธุ์,SAN,2024-05-03,ไม่ผ่านเกณฑ์
Ize coffee and bakery,ร้านเครื่องดื่ม,นาคู,นาคู,กาฬสินธุ์,SAN,2024-05-14,ไม่ผ่านเกณฑ์
แตงโมชากาแฟหอมเข้ม,ร้านเครื่องดื่ม,ม่วงนา,ดอนจาน,กาฬสินธุ์,SAN,2024-05-16,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวนายเฮง,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-08-06,รับรอง
โรงแรมริมปาว,ภัตาคาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-08-06,รับรอง
Amuse cafe,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-05-17,ไม่ผ่านเกณฑ์
เฮียเปี๊ยกก๋วยจั๋บอุบล,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-05-18,ไม่ผ่านเกณฑ์
บ้านไม้ชายทุ่ง&รีสอร์ท,ร้านจำหน่ายอาหาร,ลำพาน,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-05-18,ไม่ผ่านเกณฑ์
เตี้ย เนื้อย่าง,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-09-03,รับรอง
ร้านอาหารบ้านครูจ้ำ,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-08-06,รับรอง
ร้านบ้านเฝอ,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2024-05-18,ไม่ผ่านเกณฑ์
ป้าสาวข้าวแกงปักษ์ใต้,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-08-06,รับรอง
แหลมแท่น,ร้านจำหน่ายอาหาร,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,SAN,2025-08-06,รับรอง
