name,type,subdistrict,district,province,standard,approve_date,status
ร้านก๋วยเตี๋ยวเรือลมโชย,ร้านจำหน่ายอาหาร,ท่าตะเกียบ,ท่าตะเกียบ,ฉะเชิงเทรา,SAN,2024-09-03,ไม่ผ่านเกณฑ์
ร้านแพเคียงน้ำ,ร้านจำหน่ายอาหาร,ท่าข้าม,บางปะกง,ฉะเชิงเทรา,SAN,2025-05-30,รับรอง
บริษัท ไมโครชิพ เทคโนโลยี (ไทยแลนด์) จำกัด สำนักงานใหญ่,โรงอาหาร,วังตะเคียน,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-06-16,รับรอง
บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน),ร้านจำหน่ายอาหาร,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,SAN PLUS,2025-07-26,รับรอง
โรงพยาบาลบางคล้า ,โรงอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,SAN,2023-07-04,ไม่ผ่านเกณฑ์
ร้านป้าน้อย,ร้านจำหน่ายอาหาร,ท่าถ่าน,พนมสารคาม,ฉะเชิงเทรา,SAN,2025-05-08,ไม่ผ่านเกณฑ์
ชลัทรส,ร้านจำหน่ายอาหาร,พนมสารคาม,พนมสารคาม,ฉะเชิงเทรา,SAN,2024-11-28,รับรอง
กรีนวิลล์ ฟาร์มคาเฟ่,ร้านจำหน่ายอาหาร,บางกระเจ็ด,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-06,ไม่ผ่านเกณฑ์
เจ้เพ็ญข้าวผัดปู,ร้านจำหน่ายอาหาร,พนมสารคาม,พนมสารคาม,ฉะเชิงเทรา,SAN,2025-05-22,ไม่ผ่านเกณฑ์
พนมเบเกอรี่,ร้านจำหน่ายอาหาร,ท่าถ่าน,พนมสารคาม,ฉะเชิงเทรา,SAN,2024-09-03,ไม่ผ่านเกณฑ์
ร้านไก่ย่างวิเชียร,ร้านจำหน่ายอาหาร,ท่าถ่าน,พนมสารคาม,ฉะเชิงเทรา,SAN,2025-05-22,ไม่ผ่านเกณฑ์
กุ้งอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ท่าถ่าน,พนมสารคาม,ฉะเชิงเทรา,SAN,2025-05-08,ไม่ผ่านเกณฑ์
นุกูล อาหารตามสั่ง,ร้านจำหน่ายอาหาร,ท่าถ่าน,พนมสารคาม,ฉะเชิงเทรา,SAN,2024-08-30,รับรอง
ไลท์เฮ้าท์,อื่นๆ,ท่าถ่าน,พนมสารคาม,ฉะเชิงเทรา,SAN,2025-05-01,รับรอง
ร้านชาย4หมี่เกี๊ยว,ร้านจำหน่ายอาหาร,คลองตะเกรา,ท่าตะเกียบ,ฉะเชิงเทรา,SAN,2025-06-25,รับรอง
เจ้ไพรอาหารตามสั่ง,ร้านจำหน่ายอาหาร,คลองตะเกรา,ท่าตะเกียบ,ฉะเชิงเทรา,SAN,2025-06-27,รับรอง
ร้านป้าน้อย,ร้านจำหน่ายอาหาร,ทุ่งพระยา,สนามชัยเขต,ฉะเชิงเทรา,SAN,2024-06-20,ไม่ผ่านเกณฑ์
ร้านลาบหนองบัวลำภู,ร้านจำหน่ายอาหาร,เสม็ดใต้,บางคล้า,ฉะเชิงเทรา,SAN,2024-12-04,รับรอง
บริษัท ไทยมิตซุยสเปเชียลตี้เคมีคอล จำกัด,ร้านจำหน่ายอาหาร,บางสมัคร,บางปะกง,ฉะเชิงเทรา,SAN,2024-09-27,ไม่ผ่านเกณฑ์
ลัลลาบายคาเฟ่,ร้านเครื่องดื่ม,ลาดกระทิง,สนามชัยเขต,ฉะเชิงเทรา,SAN,2023-09-05,ไม่ผ่านเกณฑ์
ร้านครัวลุงเรก,ร้านจำหน่ายอาหาร,คลองเขื่อน,คลองเขื่อน,ฉะเชิงเทรา,SAN,2024-08-08,ไม่ผ่านเกณฑ์
บ้านขมิ้น อาหารเวียดนาม,ร้านจำหน่ายอาหาร,เสม็ดเหนือ,บางคล้า,ฉะเชิงเทรา,มาตรฐาน SAN,2024-08-13,หมดอายุ
ร้านก้อนแก้วสเต็ก888,ร้านจำหน่ายอาหาร,ก้อนแก้ว,คลองเขื่อน,ฉะเชิงเทรา,มาตรฐาน SAN,2024-08-08,หมดอายุ
ครัวป้าอึ่ง(ส้มตำแซ่บบักคั๊ก),ร้านจำหน่ายอาหาร,เสม็ดเหนือ,บางคล้า,ฉะเชิงเทรา,มาตรฐาน SAN,2023-06-02,หมดอายุ
ร้านครัวดาบภาส,ร้านจำหน่ายอาหาร,ก้อนแก้ว,คลองเขื่อน,ฉะเชิงเทรา,มาตรฐาน SAN,2024-08-08,หมดอายุ
อีสาน ร้านสันทัด,ร้านจำหน่ายอาหาร,เสม็ดใต้,บางคล้า,ฉะเชิงเทรา,มาตรฐาน SAN,2023-06-01,หมดอายุ
อิ่มหมี คาเฟ่,ร้านจำหน่ายอาหาร,บ้านโพธิ์,บ้านโพธิ์,ฉะเชิงเทรา,มาตรฐาน SAN,2023-06-11,หมดอายุ
ร้านไมซาเราะห์,ร้านจำหน่ายอาหาร,บางน้ำเปรี้ยว,บางน้ำเปรี้ยว,ฉะเชิงเทรา,มาตรฐาน SAN,2023-06-01,หมดอายุ
แพแมนยู,ร้านจำหน่ายอาหาร,คลองบ้านโพธิ์,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-31,รับรอง
ครัวลุงเล็กอาหารป่า,ร้านจำหน่ายอาหาร,ดอนทราย,บ้านโพธิ์,ฉะเชิงเทรา,มาตรฐาน SAN,2023-06-13,หมดอายุ
โกลด์ เคอร์รี่,ร้านจำหน่ายอาหาร,เขาดิน,บางปะกง,ฉะเชิงเทรา,SAN,2025-01-30,รับรอง
บ้านด้วยรัก วสาเฮาส์,ร้านจำหน่ายอาหาร,ดงน้อย,ราชสาส์น,ฉะเชิงเทรา,SAN,2025-01-30,รับรอง
ครัว สจ.หม่อง,ร้านจำหน่ายอาหาร,ดงน้อย,ราชสาส์น,ฉะเชิงเทรา,SAN,2024-09-03,ไม่ผ่านเกณฑ์
เบอร์เกอร์คิง,ร้านจำหน่ายอาหาร,ลาดขวาง,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-30,รับรอง
ก๋วยเตี๋ยวเรือเทียบท่า,ร้านจำหน่ายอาหาร,หนองตีนนก,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-30,รับรอง
ลองแลอาหารใต้,ร้านจำหน่ายอาหาร,ลาดขวาง,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-30,รับรอง
แสงเดือน กุลละวณิชย์,ร้านจำหน่ายอาหาร,ลาดขวาง,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-30,รับรอง
ร้านยาโยอิ(โรบินสันฉะเชิงเทรา),ภัตาคาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-07-01,ไม่ผ่านเกณฑ์
เจ้เจี๊ยบอาหารตามสั่ง,ร้านจำหน่ายอาหาร,หนองตีนนก,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-29,รับรอง
มณฑา ก๋วยเตี๋ยวหมูตุ๋น,ร้านจำหน่ายอาหาร,หนองตีนนก,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-28,รับรอง
ไปไร่-ไปนา,อื่นๆ,คลองตะเกรา,ท่าตะเกียบ,ฉะเชิงเทรา,SAN,2025-05-02,รับรอง
ร้านก๋วยเตี๋ยวเจ๊เตือน,ร้านจำหน่ายอาหาร,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,SAN,2025-05-02,รับรอง
ร้านเจ๊จิตรไก่รวน,ร้านจำหน่ายอาหาร,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,SAN,2025-08-04,รับรอง
ตำเลย สาขาแสนภูดาษ,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-05-03,รับรอง
เจ๊ติ๋มอาหารตามสั่ง,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,มาตรฐาน SAN,2023-07-27,หมดอายุ
นายต้น (เจ๊นอม),ร้านจำหน่ายอาหาร,สิบเอ็ดศอก,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-27,ไม่ผ่านเกณฑ์
อุ่นใจ กาแฟสด,ร้านเครื่องดื่ม,คลองตะเกรา,ท่าตะเกียบ,ฉะเชิงเทรา,SAN,2025-05-03,รับรอง
ธัญรส,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ครัวบรรเทิง,ร้านจำหน่ายอาหาร,ลาดขวาง,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2024-10-22,รับรอง
เจ้นุตามสั่ง,ร้านจำหน่ายอาหาร,ลาดขวาง,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2024-10-22,รับรอง
ไก่ย่างวิเชียรบุรี,ร้านจำหน่ายอาหาร,ลาดขวาง,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ร้านสำรวย,ร้านจำหน่ายอาหาร,โพรงอากาศ,บางน้ำเปรี้ยว,ฉะเชิงเทรา,มาตรฐาน SAN,2024-09-03,หมดอายุ
แจ่วชาบูbyBallบางวัว,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),บางวัว,บางปะกง,ฉะเชิงเทรา,SAN,2023-09-05,ไม่ผ่านเกณฑ์
ไก่ย่างเพียรระพันธ์ ข้าวหมกไก่,ร้านจำหน่ายอาหาร,คลองประเวศ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-05-04,รับรอง
ก๋วยเตี๋ยวเป็ดเบิร์ด,ร้านจำหน่ายอาหาร,โพรงอากาศ,บางน้ำเปรี้ยว,ฉะเชิงเทรา,SAN,2024-09-12,ไม่ผ่านเกณฑ์
เจ๊ใจปลาเผา,ร้านจำหน่ายอาหาร,โพรงอากาศ,บางน้ำเปรี้ยว,ฉะเชิงเทรา,SAN,2024-09-03,ไม่ผ่านเกณฑ์
ทิพย์วิไลอาหารตามสั่ง,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเป็ดตุ๋น,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-05-04,รับรอง
ก๊วยเตี๋ยวเป็ดบ้านม่วง,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,SAN,2023-07-04,ไม่ผ่านเกณฑ์
บางปะกงเทอเรซ,ศูนย์อาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-01-22,รับรอง
ดิเอ็มไพร์,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ข้าวแกงพันดาว,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
Hana japanese cuisine,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
บ้านคลองลัด,สวนอาหาร,บางวัว,บางปะกง,ฉะเชิงเทรา,SAN,2025-07-30,ไม่ผ่านเกณฑ์
ซูชินินจา,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ข้าวแกงแปดริ้ว-นครศรี,ร้านจำหน่ายอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
รำไพเดอคูซีน,ร้านจำหน่ายอาหาร,บางวัว,บางปะกง,ฉะเชิงเทรา,SAN,2023-09-08,ไม่ผ่านเกณฑ์
ศูนย์ฝึกอบรมธนาคารกสิกร,โรงอาหาร,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2024-10-17,ไม่ผ่านเกณฑ์
ก๊วยจั๊บเจ๊ฤดี,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,SAN,2025-02-18,รับรอง
ก๋วยเจี๊ยวเจ๊ษร,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,มาตรฐาน SAN,2023-07-04,หมดอายุ
ก๊วยจั๊บอ๊ยยะ,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,SAN,2023-07-04,ไม่ผ่านเกณฑ์
ร้านกินรี,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-21,ไม่ผ่านเกณฑ์
เจ๊ตุ๊กก๋วยเตี๋ยว&อาหารตามสั่ง,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,มาตรฐาน SAN,2024-08-21,หมดอายุ
นั่งเล่นนั่งกินอาหารตามสั่ง ร้านเจ้เพ็ญอาหารตามสั่งปากน้ำ,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,SAN,2025-05-05,รับรอง
คอปเตอร์ ปังปอนด์ อาหารตามสั่ง,ร้านจำหน่ายอาหาร,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,มาตรฐาน SAN,2023-07-04,หมดอายุ
ร้านเจ้จันทร์ไก่มะระ,ร้านจำหน่ายอาหาร,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านข้าวแกงสังกะสี,ร้านจำหน่ายอาหาร,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านแกงราดข้าว,ร้านจำหน่ายอาหาร,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-07-11,ไม่ผ่านเกณฑ์
April cafe chachoengsao ,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,มาตรฐาน SAN,2025-05-29,หมดอายุ
บ้าน-น้ำ-จันทร์ by คุณาวุฒิ,สวนอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2023-09-13,ไม่ผ่านเกณฑ์
ร้านร่มไม้สายธาร,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2025-05-30,ไม่ผ่านเกณฑ์
เตี๋ยว เตี๋ยว หมู,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ก๊วยเตี๋ยวหมูจ๊ะจ๋า,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ไพเราะก๋วยเตี๋ยวเป็ด,ร้านจำหน่ายอาหาร,สิบเอ็ดศอก,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-08-05,ไม่ผ่านเกณฑ์
เจ๊ตี่ ข้าวราดแกง,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ร้านท่าทองหลาง,สวนอาหาร,ท่าทองหลาง,บางคล้า,ฉะเชิงเทรา,SAN,2023-07-05,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเนื้อยายฉ่ำ,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ปากหม้อบาทเดียว,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-22,ไม่ผ่านเกณฑ์
แอบแซ่บ,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2025-05-07,รับรอง
ก๋วยเตี๋ยวเรือนายเฮง,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-09-06,รับรอง
ก๋วยเตี๋ยวเรือยกซด,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2025-05-07,รับรอง
ร้านแปดโภชนา,ร้านจำหน่ายอาหาร,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,SAN,2024-09-03,ไม่ผ่านเกณฑ์
SOMPONG AND SON,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2023-09-13,ไม่ผ่านเกณฑ์
แซ่บอีหลี หลังวัดโพธิ์,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ครัวน้องฟ้าอาหารตามสั่ง,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-10-10,รับรอง
สเต็ก Thank You,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN PLUS,2024-03-20,หมดอายุ
อั๊ยยะ หรอยจริงแกงใต้,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ผัดไทยป้าเต๋า วัดโพธิ์,ร้านจำหน่ายอาหาร,บางคล้า,บางคล้า,ฉะเชิงเทรา,SAN,2025-01-17,รับรอง
เคเอฟซี บีพี ฉะเชิงเทรา,ร้านจำหน่ายอาหาร,คลองประเวศ,บ้านโพธิ์,ฉะเชิงเทรา,มาตรฐาน SAN,2023-07-26,หมดอายุ
เรือนลำพู,ร้านจำหน่ายอาหาร,บางกรูด,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-05-28,รับรอง
ข้าวแกงพรสวรรค์,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-26,ไม่ผ่านเกณฑ์
แจ๊คตำแซ่บ,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-26,ไม่ผ่านเกณฑ์
บ้านโพธิ์ริเวอร์ไซด์,ร้านจำหน่ายอาหาร,สนามจันทร์,บ้านโพธิ์,ฉะเชิงเทรา,SAN PLUS,2025-05-29,รับรอง
ชาบูนางไน,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-02-03,รับรอง
ลาบอุบล,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-02-03,รับรอง
Meesuk Cafe ,ร้านจำหน่ายอาหาร,บางกรูด,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
บ้านปลาชุม,ร้านเครื่องดื่ม,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-26,ไม่ผ่านเกณฑ์
คริสตัลคาเฟ่ แอนด์เรสเตอรองส์,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-26,ไม่ผ่านเกณฑ์
เป้ง ก๋วยเตี๋ยวเรือสมุนไพร,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-06-27,รับรอง
ร้านบ้านนอกคลองสวน,ร้านจำหน่ายอาหาร,บางตีนเป็ด,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2024-08-09,ไม่ผ่านเกณฑ์
ร้านข้าวมันไก่ไหหลำ,ร้านจำหน่ายอาหาร,บางไผ่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มาตรฐาน SAN,2024-08-09,หมดอายุ
บ้านชวนชม,ร้านจำหน่ายอาหาร,บ้านใหม่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2024-07-01,ไม่ผ่านเกณฑ์
นายก๊วกท่าข้าม,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2024-10-24,รับรอง
ร้านป้าพิศ,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
นั่งจ้อ,ร้านจำหน่ายอาหาร,บางกรูด,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวเรืออยุธยา,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
บ้านน้ำเลน,ร้านจำหน่ายอาหาร,บางกรูด,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ร้านดิ มาเรีย Di Maria,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
เปียซิม,ร้านจำหน่ายอาหาร,บางกรูด,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ร้าน ฮุน ชุน ฮั้ว,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มาตรฐาน SAN,2023-09-07,หมดอายุ
ร้านป้อมโภชนา,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านกู๊ดวิว By ระเบียงน้ำ,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2024-12-03,รับรอง
ร้านเพ็ชร,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวไก่มะระ,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านแกงใต้เมืองลุง,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-06-26,รับรอง
ขนมบ้านอุ๋ม,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-07-01,ไม่ผ่านเกณฑ์
ร้านเจ้รัตน์,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านข้าวต้มปลารุ่งเรือง,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ฟุ่ก๋วยเตี๋ยวเนื้อ,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มาตรฐาน SAN,2023-09-07,หมดอายุ
ร้านครัวเต็มอิ่ม,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2025-07-09,รับรอง
ร้านคออีสาน,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ก๋วยเตี๊ยวปลาสมุนไพ,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๊ยวปลาแหลมสิงห์,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2024-12-02,รับรอง
ร้านแกงใต้ป้าทิพย์,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ดู๋ดี๋ สูตรมะนาว,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวปลาโบราณ ส.สุมาลี,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านครัวใต้,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-26,ไม่ผ่านเกณฑ์
ทิพย์เป็ดตุ๋น,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านลาบภูเวียง,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านเจ้าสมุทร,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ร้านเมืองมุกอาหารเวียดนาม,ร้านจำหน่ายอาหาร,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,SAN,2023-09-07,ไม่ผ่านเกณฑ์
ตาหนุ่ม,ร้านจำหน่ายอาหาร,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-08-09,ไม่ผ่านเกณฑ์
ปัน ปัน ชาบู,ร้านจำหน่ายอาหาร,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-08-09,ไม่ผ่านเกณฑ์
เป็ดพะโล้ตาจุก,ร้านจำหน่ายอาหาร,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,มาตรฐาน SAN,2023-08-09,หมดอายุ
ไม้คิว,ร้านจำหน่ายอาหาร,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-06-12,รับรอง
เจ๊โอ๋,ร้านจำหน่ายอาหาร,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,มาตรฐาน SAN,2023-08-09,หมดอายุ
สวนโมกข์,ร้านจำหน่ายอาหาร,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-08-09,ไม่ผ่านเกณฑ์
ขาหมูฮ่องเต้,ร้านจำหน่ายอาหาร,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2023-08-09,ไม่ผ่านเกณฑ์
ไพเราะก๋วยเตี๋ยวเป็ด,ร้านจำหน่ายอาหาร,สิบเอ็ดศอก,บ้านโพธิ์,ฉะเชิงเทรา,SAN,2025-03-11,รับรอง
