name,type,subdistrict,district,province,standard,approve_date,status
ครัวแมงโก้,ร้านจำหน่ายอาหาร,บางนอน,เมืองระนอง,ระนอง,SAN,2024-02-01,ไม่ผ่านเกณฑ์
ร้านคุ้นลิ้นกาแฟสด,ร้านจำหน่ายอาหาร,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2024-10-24,รับรอง
ฟาร์มเฮ้าส์ (Farmhouse),ร้านจำหน่ายอาหาร,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2024-10-24,รับรอง
ร้านบ้านครูนึก,ร้านจำหน่ายอาหาร,บางพระใต้,ละอุ่น,ระนอง,มาตรฐาน SAN,2024-08-14,หมดอายุ
น้องเมย์,ร้านจำหน่ายอาหาร,กะเปอร์,กะเปอร์,ระนอง,SAN,2024-03-11,ไม่ผ่านเกณฑ์
ใบกล้วย,ร้านจำหน่ายอาหาร,กะเปอร์,กะเปอร์,ระนอง,SAN,2024-03-11,ไม่ผ่านเกณฑ์
เจ๊จุ๋ม,ร้านจำหน่ายอาหาร,กำพวน,สุขสำราญ,ระนอง,SAN,2024-04-25,ไม่ผ่านเกณฑ์
ร้านป้าแดง ลุงติ่ง,ร้านจำหน่ายอาหาร,บางพระเหนือ,ละอุ่น,ระนอง,มาตรฐาน SAN,2025-06-26,หมดอายุ
ร้านต้นขาม,ร้านจำหน่ายอาหาร,บางพระเหนือ,ละอุ่น,ระนอง,มาตรฐาน SAN,2025-06-26,หมดอายุ
ท่าเรือ,ร้านจำหน่ายอาหาร,น้ำจืด,กระบุรี,ระนอง,มาตรฐาน SAN,2024-08-14,หมดอายุ
ข้าวมันไก่อยุธยา,ร้านจำหน่ายอาหาร,น้ำจืด,กระบุรี,ระนอง,มาตรฐาน SAN,2024-08-14,หมดอายุ
ข้าวหอม,ร้านจำหน่ายอาหาร,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2024-10-22,รับรอง
บารอก เลอ คาเฟ่ Baroque Le Cafe,ร้านจำหน่ายอาหาร,หงาว,เมืองระนอง,ระนอง,SAN,2024-10-22,รับรอง
ติน คาเฟ่,ร้านจำหน่ายอาหาร,หงาว,เมืองระนอง,ระนอง,SAN,2024-01-16,ไม่ผ่านเกณฑ์
ครัวเจริญ,ร้านจำหน่ายอาหาร,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2024-10-24,รับรอง
มายเบ้ค,ร้านเครื่องดื่ม,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2024-10-24,รับรอง
ตาหัวล้าน ริเวอร์คาเฟ่,ร้านจำหน่ายอาหาร,มะมุ,กระบุรี,ระนอง,SAN,2024-10-24,รับรอง
Cafe Amazon สาขา ปตท.จิงโจ้,ร้านเครื่องดื่ม,น้ำจืด,กระบุรี,ระนอง,SAN,2024-10-24,รับรอง
ร้านหมูกระทะ อิ่มกลิ้ง,ร้านจำหน่ายอาหาร,น้ำจืด,กระบุรี,ระนอง,SAN,2024-10-24,รับรอง
ระเบียงนา,ร้านจำหน่ายอาหาร,น้ำจืดน้อย,กระบุรี,ระนอง,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือสี่แยก,ร้านจำหน่ายอาหาร,น้ำจืด,กระบุรี,ระนอง,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ริมคลอง,ร้านจำหน่ายอาหาร,น้ำจืด,กระบุรี,ระนอง,SAN,2025-01-09,รับรอง
กลางนา,ร้านจำหน่ายอาหาร,มะมุ,กระบุรี,ระนอง,SAN,2025-06-26,ไม่ผ่านเกณฑ์
The Galla Hotel,ร้านจำหน่ายอาหาร,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2025-01-09,รับรอง
Leela Restaurant และ Mountain Cafe น้ำใส เขาสวย รีสอร์ท,ร้านจำหน่ายอาหาร,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ห้องอาหารเฮอริเทจ แกรนด์ คอนเวนชั่น,ภัตาคาร,เขานิเวศน์,เมืองระนอง,ระนอง,SAN,2025-01-09,รับรอง
ตำกัน168,ร้านจำหน่ายอาหาร,บางริ้น,เมืองระนอง,ระนอง,SAN,2024-08-14,ไม่ผ่านเกณฑ์
คาเฟ่ในหมง,ร้านเครื่องดื่ม,บางนอน,เมืองระนอง,ระนอง,SAN,2024-08-14,ไม่ผ่านเกณฑ์
Mata Cafe,ร้านเครื่องดื่ม,บางนอน,เมืองระนอง,ระนอง,SAN,2025-05-23,รับรอง
Piti home Cafe & eatery,ร้านเครื่องดื่ม,บางนอน,เมืองระนอง,ระนอง,SAN,2025-07-04,รับรอง
Milkco.Cafe,ร้านเครื่องดื่ม,บางนอน,เมืองระนอง,ระนอง,SAN,2024-08-14,ไม่ผ่านเกณฑ์
12 Cafe & Bakery,ร้านเครื่องดื่ม,บางริ้น,เมืองระนอง,ระนอง,SAN,2025-05-23,รับรอง
จ่าจ้าคอฟฟี่,ร้านจำหน่ายอาหาร,บางริ้น,เมืองระนอง,ระนอง,SAN,2025-06-04,รับรอง
สมบูรณ์โภชนา,ร้านจำหน่ายอาหาร,บางริ้น,เมืองระนอง,ระนอง,SAN,2025-01-02,รับรอง
