name,type,subdistrict,district,province,standard,approve_date,status
บ้านสวนผักยิ้ม,อื่นๆ,ห้วยคันแหลน,วิเศษชัยชาญ,อ่างทอง,SAN PLUS,2025-02-18,รับรอง
สวนอาหารเรือนพูลทอง,สวนอาหาร,ตลาดกรวด,เมืองอ่างทอง,อ่างทอง,SAN,2025-01-31,รับรอง
ร้านตาวอนอาหารป่า,ร้านจำหน่ายอาหาร,โผงเผง,ป่าโมก,อ่างทอง,SAN,2023-06-23,ไม่ผ่านเกณฑ์
เวลาดีดีหมูกระทะ,อื่นๆ,ศรีพราน,แสวงหา,อ่างทอง,SAN,2025-04-08,รับรอง
ครัวลุงนม,ร้านจำหน่ายอาหาร,โรงช้าง,ป่าโมก,อ่างทอง,SAN,2025-01-22,รับรอง
เจ๊นงค์,ร้านจำหน่ายอาหาร,สามโก้,สามโก้,อ่างทอง,มาตรฐาน SAN,2023-07-14,หมดอายุ
ร้านใบบุญ,ร้านจำหน่ายอาหาร,หัวไผ่,เมืองอ่างทอง,อ่างทอง,SAN,2025-05-04,รับรอง
ร้านยายเทือง,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2025-06-06,รับรอง
ร้านสีส้ม,ร้านเครื่องดื่ม,จรเข้ร้อง,ไชโย,อ่างทอง,SAN,2024-11-26,ไม่ผ่านเกณฑ์
บะหมี่นายช่าง,อื่นๆ,จรเข้ร้อง,ไชโย,อ่างทอง,SAN,2025-08-04,รับรอง
นัทพบ,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2023-07-20,ไม่ผ่านเกณฑ์
kkN by ครัวคุณเหนียม,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,มาตรฐาน SAN,2023-07-20,หมดอายุ
ร้านตั้งตังอา,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2023-07-20,ไม่ผ่านเกณฑ์
ร้านส้มตำครุเต้ย,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,มาตรฐาน SAN,2023-07-20,หมดอายุ
ร้านครัวอัมพร(ก๋วยเตี๋ยวเรืออยุธยา),ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2023-07-20,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวหม้อดิน,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2023-07-20,ไม่ผ่านเกณฑ์
ร้าส้มตำแม่กองพัน,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2023-07-20,ไม่ผ่านเกณฑ์
ร้านลาบเป็ดร้อยเอ็ด,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,มาตรฐาน SAN,2023-07-20,หมดอายุ
ร้านหมูกะทะ 168,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2023-07-20,ไม่ผ่านเกณฑ์
ร้านเจ๊แว่นข้าวมันไก่,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2025-06-25,รับรอง
ร้านก๋วยเตี๋ยวเป็ด,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2023-07-20,ไม่ผ่านเกณฑ์
ร้านข้าวมันไก่ 30,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2025-01-13,รับรอง
ร้านก๋วยเตี๋ยวต้มยำชามโต,ร้านจำหน่ายอาหาร,อ่างแก้ว,โพธิ์ทอง,อ่างทอง,SAN,2025-01-13,รับรอง
ครัวกลางทุ่ง,ร้านจำหน่ายอาหาร,สามโก้,สามโก้,อ่างทอง,SAN,2025-05-05,รับรอง
บะหมี่เกี๊ยวเฮียฮั๊ว,ร้านจำหน่ายอาหาร,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,อ่างทอง,SAN,2025-01-13,รับรอง
ร้านป้าณี ซอย 7,ร้านจำหน่ายอาหาร,ไผ่จำศีล,วิเศษชัยชาญ,อ่างทอง,SAN,2025-05-05,รับรอง
นางสร้อยสอางค์ วงษ์คูณ,ร้านจำหน่ายอาหาร,จรเข้ร้อง,ไชโย,อ่างทอง,มาตรฐาน SAN,2024-11-26,หมดอายุ
ร้านขนมจีน ณ อ่างทอง,ร้านจำหน่ายอาหาร,จรเข้ร้อง,ไชโย,อ่างทอง,มาตรฐาน SAN,2024-11-26,หมดอายุ
แม่เจี๊ยบซ่าส์,ร้านจำหน่ายอาหาร,ป่าโมก,ป่าโมก,อ่างทอง,SAN,2025-05-07,รับรอง
ครัวคุณจุ๋ม,ร้านจำหน่ายอาหาร,ย่านซื่อ,เมืองอ่างทอง,อ่างทอง,SAN,2025-05-07,รับรอง
ครัวบ้านไชโย,ร้านจำหน่ายอาหาร,ชัยฤทธิ์,ไชโย,อ่างทอง,SAN,2024-11-22,ไม่ผ่านเกณฑ์
ร้านป้าสุนันท์,ร้านจำหน่ายอาหาร,สามโก้,สามโก้,อ่างทอง,SAN,2025-01-13,รับรอง
ร้านสุภาภรณ์,ร้านจำหน่ายอาหาร,สามโก้,สามโก้,อ่างทอง,SAN,2025-01-13,รับรอง
ปังปัง,ร้านจำหน่ายอาหาร,โรงช้าง,ป่าโมก,อ่างทอง,SAN,2023-07-13,ไม่ผ่านเกณฑ์
ปิ่นโต,ร้านจำหน่ายอาหาร,ป่าโมก,ป่าโมก,อ่างทอง,SAN,2024-12-04,รับรอง
ร้านป้าสำรวย,อื่นๆ,สามโก้,สามโก้,อ่างทอง,SAN,2023-07-14,ไม่ผ่านเกณฑ์
ร้านข้าวต้มแม่มณี,ร้านจำหน่ายอาหาร,บางปลากด,ป่าโมก,อ่างทอง,SAN,2025-06-16,รับรอง
